2022,"SimGRACE: A Simple Framework for Graph Contrastive Learning without Data Augmentation","Xia J., Wu L., Chen J., Hu B., Li S.Z.",,"WWW 2022 - Proceedings of the ACM Web Conference 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,41,49
2022,"TopiOCQA: Open-domain Conversational Question Answering with Topic Switching","Adlakha V., Dhuliawala S., Suleman K., de Vries H., Reddy S.",2307387X,"Transactions of the Association for Computational Linguistics",10, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,19
2022,"A Multi-Level Optimization Framework for End-to-End Text Augmentation","Somayajula S.A., Song L., Xie P.",2307387X,"Transactions of the Association for Computational Linguistics",10, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2022,"VILA: Improving Structured Content Extraction from Scientific PDFs Using Visual Layout Groups","Shen Z., Lo K., Wang L.L., Kuehl B., Weld D.S., Downey D.",2307387X,"Transactions of the Association for Computational Linguistics",10, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6
2022,"Efficiently Mitigating Face-Swap-Attacks: Compressed-PRNU Verification with Sub-Zones","Hassani A., Malik H., Diedrich J.",22277080,"Technologies",10, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Strategic Investment in Open Hardware for National Security","Pearce J.M.",22277080,"Technologies",10, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4
2022,"Compressed High Resolution Satellite Image Processing to Detect Water Bodies with Combined Bilateral Filtering and Threshold Techniques","Rajyalakshmi C., Rao K.R.M., Rao R.R.",07650019,"Traitement du Signal",39, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
2022,"Performance of rectangular labyrinth weir – an experimental and numerical study","Said M.B., Ouamane A.",16069749,"Water Supply",22, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
2022,"Perceptual Hash of Neural Networks","Zhu Z., Zhou H., Xing S., Qian Z., Li S., Zhang X.",20738994,"Symmetry",14, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2022,"Permissions-Based Detection of Android Malware Using Machine Learning","Akbar F., Hussain M., Mumtaz R., Riaz Q., Wahab A.W.A., Jung K.-H.",20738994,"Symmetry",14, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2022,"Large-Scale Marine Protected Areas by Decree: Lessons Learned from the Creation of the Revillagigedo Marine Park","Saenz-Arroyo A., Camacho-Valdez V.",20711050,"Sustainability (Switzerland)",14, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Placing BEV Charging Infrastructure: Influencing Factors, Metrics, and Their Influence on Observed Charger Utilization","Adenaw L., Krapf S.",20326653,"World Electric Vehicle Journal",13, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5
2022,"SARS-CoV-2: Evolution and Emergence of New Viral Variants","Flores-Vega V.R., Monroy-Molina J.V., Jimenez-Hernandez L.E., Torres A.G., Santos-Preciado J.I., Rosales-Reyes R.",19994915,"Viruses",14, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,26
2022,"Spatial Analysis of Inequality in Thailand: Applications of Satellite Data and Spatial Statistics/Econometrics","Puttanapong N., Luenam A., Jongwattanakul P.",20711050,"Sustainability (Switzerland)",14, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
2022,"FabLabs: The Road to Distributed and Sustainable Technological Training through Digital Manufacturing","Garcia-Ruiz M.-E., Lena-Acebo F.-J.",20711050,"Sustainability (Switzerland)",14, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5
2022,"Opportunities and Barriers to the Development and Use of Open Source Health Economic Models: A Survey","Pouwels X.G.L.V., Sampson C.J., Arnold R.J.G., Janodia M.D., Henderson R., Lamotte M., Cowell W., Borrill J., Huttin C., Udupa N., Gong C.L., Lan L.S., Brannman L., Incerti D., Ramanath K.V., Pribil C., Oleshchuk O., Pokotylo O., Schramm W., Nuijten M.",10983015,"Value in Health",25, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3
2022,"Development and Assessment of an Inexpensive Smartphone-Based Respiratory Droplet Simulation Model","Hakimi A.A., Hutchison D.M., Park A., Mesinkovska N.A., Kim S., Chung P.-S., J-F Wong B.",15533506,"Surgical Innovation",29, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2022,"Multilingual Autoregressive Entity Linking","De Cao N., Wu L., Popat K., Artetxe M., Goyal N., Plekhanov M., Zettlemoyer L., Cancedda N., Riedel S., Petroni F.",2307387X,"Transactions of the Association for Computational Linguistics",10, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,21
2022,"Llamanade: An open-source computational pipeline for robust nanobody humanization","Sang Z., Xiang Y., Bahar I., Shi Y.",09692126,"Structure",30, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,12
2022,"Detect Megaregional Communities Using Network Science Analytics","Zhang M., Lan B.",24138851,"Urban Science",6, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5
2022,"A Calibration Technique for Bi-axial Shake Tables with Stepper Motor","Damci E., Sekerci C., Taskin Y., Gurkan K.",13003453,"Teknik Dergi/Technical Journal of Turkish Chamber of Civil Engineers",33, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Assessing Phytosanitary Application Efficiency of a Boom Sprayer Machine Using RGB Sensor in Grassy Fields","Abrougui K., Boughattas N.E.H., Belhaj M., Buchaillot M.L., Segarra J., Dorbolo S., Amami R., Chehaibi S., Tarchoun N., Kefauver S.C.",20711050,"Sustainability (Switzerland)",14, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Large-Sample Evaluation of Radar Rainfall Nowcasting for Flood Early Warning","Imhoff R.O., Brauer C.C., van Heeringen K.J., Uijlenhoet R., Weerts A.H.",00431397,"Water Resources Research",58, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,13
2022,"Environmental Decision Support Systems as a Service: Demonstration on CE‐QUAL‐W2 Model","Bornstein Y., Dayan B., Cahn A., Wells S., Housh M.",20734441,"Water (Switzerland)",14, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2022,"Territorializing and Monitoring of Sustainable Development Goals in Italy: An Overview","Richiedei A., Pezzagno M.",20711050,"Sustainability (Switzerland)",14, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,10
2022,"Musawah: A Data-Driven AI Approach and Tool to Co-Create Healthcare Services with a Case Study on Cancer Disease in Saudi Arabia","Alahmari N., Alswedani S., Alzahrani A., Katib I., Albeshri A., Mehmood R.",20711050,"Sustainability (Switzerland)",14, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,20
2022,"Deep Learning-Based Defect Detection for Sustainable Smart Manufacturing","Park S.-H., Lee K.-H., Park J.-S., Shin Y.-S.",20711050,"Sustainability (Switzerland)",14, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2022,"Assessing the Performance of LISFLOOD-FP and SWMM for a Small Watershed with Scarce Data Availability","Sadeghi F., Rubinato M., Goerke M., Hart J.",20734441,"Water (Switzerland)",14, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8
2022,"PyGEE-SWToolbox: A Python Jupyter Notebook Toolbox for Interactive Surface Water Mapping and Analysis Using Google Earth Engine","Owusu C., Snigdha N.J., Martin M.T., Kalyanapu A.J.",20711050,"Sustainability (Switzerland)",14, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
2022,"How and why we travel – Mobility demand and emissions from passenger transport","O'Riordan V., Rogan F., O Gallachoir B., Mac Uidhir T., Daly H.",13619209,"Transportation Research Part D: Transport and Environment",104, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,9
2022,"Modeling multimodal access to primary care in an urban environment","Del Conte D.E., Locascio A., Amoruso J., McNamara M.L.",25901982,"Transportation Research Interdisciplinary Perspectives",13, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"Development and implementation of a software for wire arc additive manufacturing preprocessing planning: trajectory planning and machine code generation","Ferreira R.P., Vilarinho L.O., Scotti A.",00432288,"Welding in the World",66, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
2022,"The Geography of Open Source Software: Evidence from GitHub","Wachs J., Nitecki M., Schueller W., Polleres A.",00401625,"Technological Forecasting and Social Change",176, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8
2022,"Policy choices can help keep 4G and 5G universal broadband affordable","Oughton E.J., Comini N., Foster V., Hall J.W.",00401625,"Technological Forecasting and Social Change",176, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,14
2022,"Numerical simulation of the effects of superhydrophobic coating in an oval cross-sectional solar collector with a wavy absorber filled with water-based Al2O3-ZnO-Fe3O4 ternary hybrid nanofluid","Fattahi A., Karimi N.",22131388,"Sustainable Energy Technologies and Assessments",50, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6,18
2022,"Sub-Sampled Imaging for STEM: Maximising Image Speed, Resolution and Precision Through Reconstruction Parameter Refinement","Nicholls D., Wells J., Stevens A., Zheng Y., Castagna J., Browning N.D.",03043991,"Ultramicroscopy",233, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6
2022,"The ezSpectra suite: An easy-to-use toolkit for spectroscopy modeling","Gozem S., Krylov A.I.",17590876,"Wiley Interdisciplinary Reviews: Computational Molecular Science",12, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,34,29,63
2022,"Enabling Pipeline Parallelism in Heterogeneous Managed Runtime Environments via Batch Processing","Blanaru F., Stratikopoulos A., Fumero J., Kotselidis C.",,"VEE 2022 - Proceedings of the 18th ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"An open-source platform for 3D-printed redox flow battery test cells†","O'Connor H., Bailey J.J., Istrate O.M., Klusener P.A.A., Watson R., Glover S., Iacoviello F., Brett D.J.L., Shearing P.R., Nockemann P.",23984902,"Sustainable Energy and Fuels",6, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6
2022,"MAVE: A product dataset for multi-source attribute value extraction","Yang L., Wang Q., Yu Z., Kulkarni A., Sanghai S., Shu B., Elsas J., Kanagal B.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,20
2022,"Linear, or non-linear, that is the question!","Kong T., Kim T., Jeon J., Choi J., Lee Y.-C., Park N., Kim S.-W.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,19
2022,"A simple but effective bidirectional framework for relational triple extraction","Ren F., Zhang L., Zhao X., Yin S., Liu S., Li B.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,12
2022,"Keyword assisted embedded topic model","Harandizadeh B., Priniski J.H., Morstatter F.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,8
2022,"Personalized transfer of user preferences for cross-domain recommendation","Zhu Y., Tang Z., Liu Y., Zhuang F., Xie R., Zhang X., Lin L., He Q.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,38,48
2022,"Multi-resolution attention for personalized item search","Kocayusufoglu F., Wu T., Singh A., Roumpos G., Cheng H.-T., Jain S., Chi E., Singh A.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Contrastive meta learning with behavior multiplicity for recommendation","Wei W., Huang C., Xia L., Xu Y., Zhao J., Yin D.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,42,55
2022,"Bringing your own view: Graph contrastive learning without prefabricated data augmentations","You Y., Chen T., Wang Z., Shen Y.",,"WSDM 2022 - Proceedings of the 15th ACM International Conference on Web Search and Data Mining",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,21
2022,"Revisiting Flood Hazard Assessment Practices under a Hybrid Stochastic Simulation Framework","Efstratiadis A., Dimas P., Pouliasis G., Tsoukalas I., Kossieris P., Bellos V., Sakki G.-K., Makropoulos C., Michas S.",20734441,"Water (Switzerland)",14, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7
2022,"Integrating the OHIF Viewer into XNAT: Achievements, Challenges and Prospects for Quantitative Imaging Studies","Doran S.J., Al Sa'D M., Petts J.A., Darcy J., Alpert K., Cho W., Sanchez L.E., Alle S., El Harouni A., Genereaux B., Ziegler E., Harris G.J., Aboagye E.O., Sala E., Koh D.-M., Marcus D.",23791381,"Tomography",8, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2022,"Urban Sound Auralization and Visualization Framework—Case Study at IHTApark","Llorca-Bofi J., Dreier C., Heck J., Vorlander M.",20711050,"Sustainability (Switzerland)",14, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,9
2022,"Steady-State Analysis of Electrical Networks in Pandapower Software: Computational Performances of Newton–Raphson, Newton–Raphson with Iwamoto Multiplier, and Gauss– Seidel Methods","Vysocky J., Foltyn L., Brkic D., Praksova R., Praks P.",20711050,"Sustainability (Switzerland)",14, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"Web-Based Decision Support System for Managing the Food–Water–Soil–Ecosystem Nexus in the Kolleru Freshwater Lake of Andhra Pradesh in South India","Kolli M.K., Opp C., Karthe D., Kumar N.M.",20711050,"Sustainability (Switzerland)",14, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"A Tale of Shaheen’s Cyclone Consequences in Al Khaboura City, Oman","Alruheili A.M.",20734441,"Water (Switzerland)",14, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
2022,"Facilitating Conservation and Bridging Gaps for the Sustainable Exploitation of the Tunisian Local Endemic Plant Marrubium aschersonii (Lamiaceae)","Pipinis E., Hatzilazarou S., Kostas S., Bourgou S., Megdiche-Ksouri W., Ghrabi-Gammar Z., Libiad M., Khabbach A., El Haissoufi M., Lamchouri F., Koundourakis E., Greveniotis V., Papaioannou E., Sakellariou M.A., Anestis I., Tsoktouridis G., Krigas N.",20711050,"Sustainability (Switzerland)",14, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,11
2022,"Development smart eyeglasses for visually impaired people based on you only look once","Abdul-Ameer H.S., Hassan H.J., Abdullah S.H.",16936930,"Telkomnika (Telecommunication Computing Electronics and Control)",20, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4
2022,"Sustainable Supply Chain and Business Performance: The Impact of Strategy, Network Design, Information Systems, and Organizational Structure","Fu Q., Rahman A.A.A., Jiang H., Abbas J., Comite U.",20711050,"Sustainability (Switzerland)",14, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,32,57
2022,"Deep learning-based waste detection in natural and urban environments","Majchrowska S., Mikolajczyk A., Ferlin M., Klawikowska Z., Plantykow M.A., Kwasigroch A., Majek K.",0956053X,"Waste Management",138, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,32,49
2022,"E-bikes and their capability to reduce car CO2 emissions","Philips I., Anable J., Chatterton T.",0967070X,"Transport Policy",116, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,21,28
2022,"I-Neat: An intelligent framework for adaptive virtual machine consolidation","Liu Y., Zhao Y., Dong J., Li L., Wang C., Zuo D.",10070214,"Tsinghua Science and Technology",27, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2022,"Mutation testing for integer overflow in ethereum smart contracts","Sun J., Huang S., Zheng C., Wang T., Zong C., Hui Z.",10070214,"Tsinghua Science and Technology",27, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,4,9
2022,"Handover Experiments with UAVs: Software Radio Tools and Experimental Research Platform","Powell K., Yingst A., Rahman T.F., Marojevic V.",,"WiNTECH 2021 - Proceedings of the 15th ACM Workshop on Wireless Network Testbeds, Experimental evaluation and CHaracterization, Part of ACM MOBICOM 2021",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"A reference open-source controller for fixed and floating offshore wind turbines","Abbas N.J., Zalkind D.S., Pao L., Wright A.",23667443,"Wind Energy Science",7, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,38,58
2022,"Kindergarden quantum mechanics graduates …or how I learned to stop gluing LEGO together and love the ZX-calculus","Coecke B., Horsman D., Kissinger A., Wang Q.",03043975,"Theoretical Computer Science",897, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
2022,"Improvement of the method of calculation of pressure of combine harvester propulsion on soil","Skorlyakov V.J., Revenko V.Yu.",03214443,"Tractors and Agricultural Machinery",89, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"The Azure Data Lakehouse Toolkit: Building and Scaling Data Lakehouses on Azure with Delta Lake, Apache Spark, Databricks, Synapse Analytics, and Snowflake","L'esteve R.",,"The Azure Data Lakehouse Toolkit: Building and Scaling Data Lakehouses on Azure with Delta Lake, Apache Spark, Databricks, Synapse Analytics, and Snowflake",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"System Firmware: An Essential Guide to Open Source and Embedded Solutions","Banik S., Zimmer V.",,"System Firmware: an Essential Guide to Open Source and Embedded Solutions",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"The Art of Site Reliability Engineering (SRE) with Azure: Building and Deploying Applications That Endure","Beloki U.H.",,"The Art of Site Reliability Engineering (SRE) with Azure: Building and Deploying Applications that Endure",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Microscope-Cockpit: Python-based bespoke microscopy for bio-medical science","Phillips M.A., Susano Pinto D.M., Hall N., Mateos-Langerak J., Parton R.M., Titlow J., Stoychev D.V., Parks T., Susano Pinto T., Sedat J.W., Booth M.J., Davis I., Dobbie I.M.",2398502X,"Wellcome Open Research",6, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Analytical methodology integrated with GIS for the estimation of agricultural waste in the biorefining processes","Riera M.A., Palma R.R.",23521457,"Transportation Research Procedia",67, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"basicsynbio and the BASIC SEVA collection: software and vectors for an established DNA assembly method","Haines M.C., Carling B., Marshall J., Shenshin V.A., Baldwin G.S., Freemont P., Storch M.",19397267,"Synthetic Biology",7, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"[FastContext: A tool for identification of adapters and other sequence patterns in next generation sequencing (NGS) data, FastContext: инструмент для контекстного анализа последовательностей в данных секвенирования нового поколения (NGS)]","Viesna E., Fishman V.",25000462,"Vavilovskii Zhurnal Genetiki i Selektsii",26, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"A biophysical model of viral escape from polyclonal antibodies","Yu T.C., Thornton Z.T., Hannon W.W., DeWitt W.S., Radford C.E., Matsen F.A., Bloom J.D.",20571577,"Virus Evolution",8, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2022,"pyMelt: An extensible Python engine for mantle melting calculations","Matthews S., Wong K., Gleeson M.",26103540,"Volcanica",5, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"Differentiable Short-Term Models for Efficient Online Learning and Prediction in Monophonic Music","Bjare M.R., Lattner S., Widmer G.",25143298,"Transactions of the International Society for Music Information Retrieval",5, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Finite Element Method for MRAM Switching Simulations","Fiorentini S., De Orio R.L., Ender J., Selberherr S., Bendra M., Jorstad N., Goes W., Sverdlov V.",19918763,"WSEAS Transactions on Systems and Control",17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Text Mining for Information Professionals: An Uncharted Territory","Lamba M., Madhusudhan M.",,"Text Mining for Information Professionals: An Uncharted Territory",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2022,"DEVELOPMENT OF A FRAMEWORK FOR INTERNAL COMBUSTION ENGINE SIMULATIONS IN OPENFOAM","Gossnitzer C., Posch S., Pirker G.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"NEXT-GENERATION HPC MODELS FOR FUTURE ROTORCRAFT APPLICATIONS","Sanguini N., Benacchio T., Malacrida D., Cipolletta F., Rondina F., Sciarappa A., Capone L.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"HEMODYNAMICS IN HEALTHY AND PATHOLOGICAL THORACIC AORTA: INTEGRATION OF IN-VIVO DATA IN CFD SIMULATIONS AND IN IN-VITRO EXPERIMENTS","Mariotti A., Vignali E., Gasparotti E., Marchese P., Morello M., Salvetti M.V., Celi S.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"A posteriori mood limiting approach for multicomponent flows on unstructured meshes","Tsoutsanis P., Farmakis P.S.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"IMPLEMENTATION OF CWENO SCHEMES FOR COMPRESSIBLE MULTICOMPONENT/MULTIPHASE FLOW USING INTERFACE CAPTURING MODELS","Adebayo E.M., Tsoutsanis P., Jenkins K.W.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"A numerical analysis of co2 storage by adsorption using zif-8","Silva G.F., Silva L.R., Pelic M.O., Chieregatti B.G., Lima J.B.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"SIMULATION OF THE FLOW-ACOUSTIC-STRUCTURAL INTERACTION IN FLOW DUCTS USING A PARTITIONED APPROACH IN THE TIME DOMAIN","Kersschot J., Denayer H., De Roeck W., Desmet W.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"A TIME-STAGGERED SECOND ORDER SCHEME FOR MOIST AIR VARIABLE DENSITY FLOW","Amino H., Flageul C., Carissimo B., Ferrand M., Herard J.M.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"HIGH FIDELITY FLUID-STRUCTURE INTERACTION SIMULATION OF A MULTI-MEGAWATT AIRBORNE WIND ENERGY REFERENCE SYSTEM IN CROSSWIND FLIGHT","Pynaert N., Wauters J., Crevecoeur G., Degroote J.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"LATTICE-BOLTZMANN SIMULATIONS OF TRAFFIC-RELATED ATMOSPHERIC OLLUTANT DISPERSION IN URBAN AREAS","Pasquier M., Jay S., Sagaut P.",26966999,"World Congress in Computational Mechanics and ECCOMAS Congress",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"[Geometric Structures in Textile Design Made with 3D Printing, Geometrične strukture v tekstilnem oblikovanju, izdelane s 3-D tiskom]","Arikan C.O., Dogan S., Muck D.",03513386,"Tekstilec",65, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Creating Secure File Systems in Open-Source Operating Systems","Ochilov N.",11092777,"WSEAS Transactions on Systems",21, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Creating an ATC knowledge graph in support of the artificial situational awareness system","Schrefl M., Neumayr B., Gruber S., Hartmann M., Tukaric I., Radisic T.",23521457,"Transportation Research Procedia",64, C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"A Cognitive Agent's Infrastructure for Smart Mobility","Schatten M., Duric B.O., Peharda T., Tomicic I.",23521457,"Transportation Research Procedia",64, C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"Thermobar: An open-source Python3 tool for thermobarometry and hygrometry","Wieser P.E., Petrelli M., Lubbers J., Wieser E., Ozaydin S., Kent A.J.R., Till C.B.",26103540,"Volcanica",5, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
2022,"Implementation of Taguchi Method for Designing a Robust Wind Energy System – A Wind Turbine","Kaushik V., Naren Shankar R., Haroon Rashid N.I., Khope P.B.",19490569,"Transdisciplinary Journal of Engineering and Science",13, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Blind Nonlinear Unmixing for Intimate Mixtures Using Hapke Model and CNN","Rasti B., Koirala B.",21586276,"Workshop on Hyperspectral Image and Signal Processing, Evolution in Remote Sensing",2022-, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Probabilistic Breaking Tie: An Active Learning Strategy to Leverage Class Hierarchy for Impervious Surfaces Classification","Thoreau R., Achard V., Risser L., Berthelot B., Briottet X.",21586276,"Workshop on Hyperspectral Image and Signal Processing, Evolution in Remote Sensing",2022-, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"The use of deep learning in interventional radiotherapy (brachytherapy): A review with a focus on open source and open data","Fechter T., Sachpazidis I., Baltas D.",09393889,"Zeitschrift fur Medizinische Physik",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"Living HTA: Automating Health Economic Evaluation with R","Smith R.A., Schneider P.P., Mohammed W.",2398502X,"Wellcome Open Research",7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
